rank	Country	GII	HDI	Region
1	Norway	0.052565158337404	0.949422834491064	Europe
2	Australia	0.119726860825812	0.938679535646609	Oceanië
2	Switzerland	0.0402514207955311	0.93913086905938	Europe
4	Germany	0.0664598480109463	0.925668941071662	Europe
5	Denmark	0.0414872100923229	0.92464936963657	Europe
5	Singapore	0.068165669964826	0.924865932830033	Oceanië
7	Netherlands	0.0436068629683174	0.924312171221292	Europe
8	Ireland	0.126632305866845	0.922745766584156	Europe
9	Iceland	0.0512985338916172	0.921109598079021	Europe
10	Canada	0.0979087330482288	0.92028441365135	Oceanië
10	United States	0.203180798322609	0.919553055741236	Oceanië
12	Hong Kong. China (SAR)	..	0.917157318856139	Oceanië
13	New Zealand	0.157796553707724	0.914900055512101	Oceanië
14	Sweden	0.047569767361001	0.912706100530911	Europe
15	Liechtenstein	..	0.911517483487661	Europe
16	United Kingdom	0.13083521620626	0.909490905908351	Europe
17	Japan	0.11622052637947	0.903462080218309	Oceanië
18	Korea (Republic of)	0.0666302456267991	0.900992129625148	Oceanië
19	Israel	0.103144990568294	0.898885927187516	Oceanië
20	Luxembourg	0.0745846322254919	0.89846472062553	Europe
21	France	0.102109383268976	0.897435892476236	Europe
22	Belgium	0.0730952638151696	0.89551414547819	Europe
23	Finland	0.056446134054792	0.894517443910605	Europe
24	Austria	0.0783902841111258	0.893405014550365	Europe
25	Slovenia	0.052753588800872	0.890302824230092	Europe
26	Italy	0.0845720879448241	0.886552110945566	Europe
27	Spain	0.0805396911395385	0.884153254627493	Europe
28	Czech Republic	0.129159755443653	0.877841924484264	Europe
29	Greece	0.119151703863371	0.86587309619735	Europe
30	Brunei Darussalam	..	0.864936709580829	Oceanië
30	Estonia	0.130864586752193	0.865118379943937	Europe
32	Andorra	..	0.85845165619693	Europe
33	Cyprus	0.116378382723783	0.855645845739221	Europe
33	Malta	0.217238795239023	0.855850774908432	Europe
33	Qatar	0.542027077394914	0.855530726608706	Oceanië
36	Poland	0.137015303217847	0.855228788716573	Europe
37	Lithuania	0.120969560982789	0.848098562965385	Europe
38	Chile	0.322268915787627	0.846625951356502	Americas
38	Saudi Arabia	0.256929909730855	0.846601911093778	Oceanië
40	Slovakia	0.179494906667213	0.844947582167354	Europe
41	Portugal	0.0907736916934294	0.842658097524802	Europe
42	United Arab Emirates	0.232252637175026	0.839799159479088	Oceanië
43	Hungary	0.251999638998248	0.836211492808667	Europe
44	Latvia	0.190734603736539	0.82986228742339	Europe
45	Argentina	0.361815260350939	0.827400510092686	Americas
45	Croatia	0.141287558325332	0.827402942508165	Europe
47	Bahrain	0.233452607607681	0.823884095321277	Oceanië
48	Montenegro	0.156094066670274	0.80722434610105	Europe
49	Russian Federation	0.270739015496331	0.803908285216094	Europe
50	Romania	0.338541010826752	0.80238171382862	Europe
51	Kuwait	0.334961930887526	0.800182931694956	Middle-East
52	Belarus	0.143573420862261	0.795827060674917	Europe
52	Oman	0.281408439679473	0.795778615284731	Middle-East
54	Barbados	0.291409578113735	0.794719157639879	Oceanië
54	Uruguay	0.284048422547178	0.794785893009035	Oceanië
56	Bulgaria	0.222701211525888	0.793641565185201	Oceanië
56	Kazakhstan	0.202381137099054	0.794123062527118	Middle-East
58	Bahamas	0.361867877435412	0.791622829320128	Oceanië
59	Malaysia	0.290979873590172	0.789449738019399	Asia
60	Palau	..	0.787785225991505	Oceanië
60	Panama	0.457388984735319	0.787656219704456	Oceanië
