rank;Country;GII;HDI
1;Norway;0.053;0.949
2;Australia;0.12;0.939
2;Switzerland;0.04;0.939
4;Germany;0.066;0.926
5;Denmark;0.041;0.925
5;Singapore;0.068;0.925
7;Netherlands;0.044;0.924
8;Ireland;0.127;0.923
9;Iceland;0.051;0.921
10;Canada;0.098;0.92
10;United States;0.203;0.92
12;Hong Kong. China (SAR);..;0.917
13;New Zealand;0.158;0.915
14;Sweden;0.048;0.913
15;Liechtenstein;..;0.912
16;United Kingdom;0.131;0.909
17;Japan;0.116;0.903
18;Korea (Republic of);0.067;0.901
19;Israel;0.103;0.899
20;Luxembourg;0.075;0.898
21;France;0.102;0.897
22;Belgium;0.073;0.896
23;Finland;0.056;0.895
24;Austria;0.078;0.893
25;Slovenia;0.053;0.89
26;Italy;0.085;0.887
27;Spain;0.081;0.884
28;Czech Republic;0.129;0.878
29;Greece;0.119;0.866
30;Brunei Darussalam;..;0.865
30;Estonia;0.131;0.865
32;Andorra;..;0.858
33;Cyprus;0.116;0.856
33;Malta;0.217;0.856
33;Qatar;0.542;0.856
36;Poland;0.137;0.855
37;Lithuania;0.121;0.848
38;Chile;0.322;0.847
38;Saudi Arabia;0.257;0.847
40;Slovakia;0.179;0.845
41;Portugal;0.091;0.843
42;United Arab Emirates;0.232;0.84
43;Hungary;0.252;0.836
44;Latvia;0.191;0.83
45;Argentina;0.362;0.827
45;Croatia;0.141;0.827
47;Bahrain;0.233;0.824
48;Montenegro;0.156;0.807
49;Russian Federation;0.271;0.804
50;Romania;0.339;0.802
51;Kuwait;0.335;0.8
52;Belarus;0.144;0.796
52;Oman;0.281;0.796
54;Barbados;0.291;0.795
54;Uruguay;0.284;0.795
56;Bulgaria;0.223;0.794
56;Kazakhstan;0.202;0.794
58;Bahamas;0.362;0.792
59;Malaysia;0.291;0.789
60;Palau;..;0.788
60;Panama;0.457;0.788
62;Antigua and Barbuda;..;0.786
63;Seychelles;..;0.782
64;Mauritius;0.38;0.781
65;Trinidad and Tobago;0.324;0.78
66;Costa Rica;0.308;0.776
66;Serbia;0.185;0.776
68;Cuba;0.304;0.775
69;Iran (Islamic Republic of);0.509;0.774
70;Georgia;0.361;0.769
71;Turkey;0.328;0.767
71;Venezuela (Bolivarian Republic of);0.461;0.767
73;Sri Lanka;0.386;0.766
74;Saint Kitts and Nevis;..;0.765
75;Albania;0.267;0.764
76;Lebanon;0.381;0.763
77;Mexico;0.345;0.762
78;Azerbaijan;0.326;0.759
79;Brazil;0.414;0.754
79;Grenada;..;0.754
81;Bosnia and Herzegovina;0.158;0.75
82;The former Yugoslav Republic of Macedonia;0.16;0.748
83;Algeria;0.429;0.745
84;Armenia;0.293;0.743
84;Ukraine;0.284;0.743
86;Jordan;0.478;0.741
87;Peru;0.385;0.74
87;Thailand;0.366;0.74
89;Ecuador;0.391;0.739
90;China;0.164;0.738
91;Fiji;0.358;0.736
92;Mongolia;0.278;0.735
92;Saint Lucia;0.354;0.735
94;Jamaica;0.422;0.73
95;Colombia;0.393;0.727
96;Dominica;..;0.726
97;Suriname;0.448;0.725
97;Tunisia;0.289;0.725
99;Dominican Republic;0.47;0.722
99;Saint Vincent and the Grenadines;..;0.722
101;Tonga;0.659;0.721
102;Libya;0.167;0.716
103;Belize;0.375;0.706
104;Samoa;0.439;0.704
105;Maldives;0.312;0.701
105;Uzbekistan;0.287;0.701
107;Moldova (Republic of);0.232;0.699
108;Botswana;0.435;0.698
109;Gabon;0.542;0.697
110;Paraguay;0.464;0.693
111;Egypt;0.565;0.691
111;Turkmenistan;..;0.691
113;Indonesia;0.467;0.689
114;Palestine. State of;..;0.684
115;Viet Nam;0.337;0.683
116;Philippines;0.436;0.682
117;El Salvador;0.384;0.68
118;Bolivia (Plurinational State of);0.446;0.674
119;South Africa;0.394;0.666
120;Kyrgyzstan;0.394;0.664
121;Iraq;0.525;0.649
122;Cabo Verde;..;0.648
123;Morocco;0.494;0.647
124;Nicaragua;0.462;0.645
125;Guatemala;0.494;0.64
125;Namibia;0.474;0.64
127;Guyana;0.508;0.638
127;Micronesia (Federated States of);..;0.638
129;Tajikistan;0.322;0.627
130;Honduras;0.461;0.625
131;India;0.53;0.624
132;Bhutan;0.477;0.607
133;Timor-Leste;..;0.605
134;Vanuatu;..;0.597
135;Congo;0.592;0.592
135;Equatorial Guinea;..;0.592
137;Kiribati;..;0.588
138;Lao People's Democratic Republic;0.468;0.586
139;Bangladesh;0.52;0.579
139;Ghana;0.547;0.579
139;Zambia;0.526;0.579
142;Sao Tome and Principe;0.524;0.574
143;Cambodia;0.479;0.563
144;Nepal;0.497;0.558
145;Myanmar;0.374;0.556
146;Kenya;0.565;0.555
147;Pakistan;0.546;0.55
148;Swaziland;0.566;0.541
149;Syrian Arab Republic;0.554;0.536
150;Angola;..;0.533
151;Tanzania (United Republic of);0.544;0.531
152;Nigeria;..;0.527
153;Cameroon;0.568;0.518
154;Papua New Guinea;0.595;0.516
154;Zimbabwe;0.54;0.516
156;Solomon Islands;..;0.515
157;Mauritania;0.626;0.513
158;Madagascar;..;0.512
159;Rwanda;0.383;0.498
160;Comoros;..;0.497
160;Lesotho;0.549;0.497
162;Senegal;0.521;0.494
163;Haiti;0.593;0.493
163;Uganda;0.522;0.493
165;Sudan;0.575;0.49
166;Togo;0.556;0.487
167;Benin;0.613;0.485
168;Yemen;0.767;0.482
169;Afghanistan;0.667;0.479
170;Malawi;0.614;0.476
171;Côte d'Ivoire;0.672;0.474
172;Djibouti;..;0.473
173;Gambia;0.641;0.452
174;Ethiopia;0.499;0.448
175;Mali;0.689;0.442
176;Congo (Democratic Republic of the);0.663;0.435
177;Liberia;0.649;0.427
178;Guinea-Bissau;..;0.424
179;Eritrea;..;0.42
179;Sierra Leone;0.65;0.42
181;Mozambique;0.574;0.418
181;South Sudan;..;0.418
183;Guinea;..;0.414
184;Burundi;0.474;0.404
185;Burkina Faso;0.615;0.402
186;Chad;0.695;0.396
187;Niger;0.695;0.353
188;Central African Republic;0.648;0.352
