ID,SoortMisdrijf,RegioS,Perioden,TotaalGeregistreerdeMisdrijven_1,GeregistreerdeMisdrijvenPer1000Inw_3
47,0000000,Groningen,2015JJ00,30100,51.5
54,0000000,Friesland,2015JJ00,26590,41.1
61,0000000,Drenthe,2015JJ00,20090,41.1
68,0000000,Overijssel,2015JJ00,50625,44.4
75,0000000,Flevoland,2015JJ00,21550,53.6
82,0000000,Gelderland,2015JJ00,95255,47.0
89,0000000,Utrecht,2015JJ00,74190,58.7
96,0000000,Noord-Holland,2015JJ00,202690,73.4
103,0000000,Zuid-Holland,2015JJ00,224945,62.5
110,0000000,Zeeland,2015JJ00,16845,44.2
117,0000000,Noord-Brabant,2015JJ00,145595,58.5
124,0000000,Limburg,2015JJ00,68995,61.7
