TotaalGeregistreerdeMisdrijven_1,Provincie,Misdrijf
18680,Groningen,Vermogensmisdrijven
15135,Friesland,Vermogensmisdrijven
11680,Drenthe,Vermogensmisdrijven
30975,Overijssel,Vermogensmisdrijven
12850,Flevoland,Vermogensmisdrijven
58705,Gelderland,Vermogensmisdrijven
49505,Utrecht,Vermogensmisdrijven
135655,Noord-Holland,Vermogensmisdrijven
136135,Zuid-Holland,Vermogensmisdrijven
8640,Zeeland,Vermogensmisdrijven
91320,Noord-Brabant,Vermogensmisdrijven
44100,Limburg,Vermogensmisdrijven
4095,Groningen,Vernielingen & misdrijven openbare orde
4295,Friesland,Vernielingen & misdrijven openbare orde
3245,Drenthe,Vernielingen & misdrijven openbare orde
6930,Overijssel,Vernielingen & misdrijven openbare orde
2870,Flevoland,Vernielingen & misdrijven openbare orde
12775,Gelderland,Vernielingen & misdrijven openbare orde
9380,Utrecht,Vernielingen & misdrijven openbare orde
22280,Noord-Holland,Vernielingen & misdrijven openbare orde
27410,Zuid-Holland,Vernielingen & misdrijven openbare orde
3070,Zeeland,Vernielingen & misdrijven openbare orde
17620,Noord-Brabant,Vernielingen & misdrijven openbare orde
8565,Limburg,Vernielingen & misdrijven openbare orde
3620,Groningen,Gewelds- en seksuele misdrijven
2950,Friesland,Gewelds- en seksuele misdrijven
2435,Drenthe,Gewelds- en seksuele misdrijven
4915,Overijssel,Gewelds- en seksuele misdrijven
2225,Flevoland,Gewelds- en seksuele misdrijven
9550,Gelderland,Gewelds- en seksuele misdrijven
5220,Utrecht,Gewelds- en seksuele misdrijven
18015,Noord-Holland,Gewelds- en seksuele misdrijven
21660,Zuid-Holland,Gewelds- en seksuele misdrijven
1940,Zeeland,Gewelds- en seksuele misdrijven
13750,Noord-Brabant,Gewelds- en seksuele misdrijven
5965,Limburg,Gewelds- en seksuele misdrijven
300,Groningen,VWSR
305,Friesland,VWSR
255,Drenthe,VWSR
690,Overijssel,VWSR
250,Flevoland,VWSR
1260,Gelderland,VWSR
850,Utrecht,VWSR
1865,Noord-Holland,VWSR
2840,Zuid-Holland,VWSR
150,Zeeland,VWSR
1650,Noord-Brabant,VWSR
565,Limburg,VWSR
2710,Groningen,Verkeersmisdrijven
3245,Friesland,Verkeersmisdrijven
2090,Drenthe,Verkeersmisdrijven
6090,Overijssel,Verkeersmisdrijven
2650,Flevoland,Verkeersmisdrijven
10925,Gelderland,Verkeersmisdrijven
8060,Utrecht,Verkeersmisdrijven
19525,Noord-Holland,Verkeersmisdrijven
31510,Zuid-Holland,Verkeersmisdrijven
2435,Zeeland,Verkeersmisdrijven
17380,Noord-Brabant,Verkeersmisdrijven
7905,Limburg,Verkeersmisdrijven
425,Groningen,Drugsmisdrijven
445,Friesland,Drugsmisdrijven
190,Drenthe,Drugsmisdrijven
585,Overijssel,Drugsmisdrijven
520,Flevoland,Drugsmisdrijven
1155,Gelderland,Drugsmisdrijven
695,Utrecht,Drugsmisdrijven
3505,Noord-Holland,Drugsmisdrijven
3175,Zuid-Holland,Drugsmisdrijven
375,Zeeland,Drugsmisdrijven
2535,Noord-Brabant,Drugsmisdrijven
1190,Limburg,Drugsmisdrijven
125,Groningen,Wapenmisdrijven
95,Friesland,Wapenmisdrijven
95,Drenthe,Wapenmisdrijven
275,Overijssel,Wapenmisdrijven
115,Flevoland,Wapenmisdrijven
460,Gelderland,Wapenmisdrijven
340,Utrecht,Wapenmisdrijven
1295,Noord-Holland,Wapenmisdrijven
1380,Zuid-Holland,Wapenmisdrijven
130,Zeeland,Wapenmisdrijven
840,Noord-Brabant,Wapenmisdrijven
400,Limburg,Wapenmisdrijven
140,Groningen,Overige wetten
130,Friesland,Overige wetten
100,Drenthe,Overige wetten
165,Overijssel,Overige wetten
70,Flevoland,Overige wetten
425,Gelderland,Overige wetten
145,Utrecht,Overige wetten
550,Noord-Holland,Overige wetten
840,Zuid-Holland,Overige wetten
110,Zeeland,Overige wetten
510,Noord-Brabant,Overige wetten
305,Limburg,Overige wetten
